flags,utterance,category,intent,Column1,Column2
BIL,is it possible to list your payment options?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: is it possible to list your payment options?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: is it possible to list your payment options?

Category: PAYMENT

<|endoftext|>"
B,check your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: check your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: check your allowed payment methods

Category: PAYMENT

<|endoftext|>"
BLQ,i need help to see what payment options are available,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: i need help to see what payment options are available

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: i need help to see what payment options are available

Category: PAYMENT

<|endoftext|>"
B,show me what payment methods are available,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: show me what payment methods are available

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: show me what payment methods are available

Category: PAYMENT

<|endoftext|>"
BEL,I do not know how to check the allowed payment options,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I do not know how to check the allowed payment options

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how to check the allowed payment options

Category: PAYMENT

<|endoftext|>"
BIP,could you help me checking your allowed payment methods?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: could you help me checking your allowed payment methods?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me checking your allowed payment methods?

Category: PAYMENT

<|endoftext|>"
BLQ,need assistance to see ur accepted payment options,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: need assistance to see ur accepted payment options

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: need assistance to see ur accepted payment options

Category: PAYMENT

<|endoftext|>"
BLQ,i need help checking what payment methods are allowed,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: i need help checking what payment methods are allowed

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: i need help checking what payment methods are allowed

Category: PAYMENT

<|endoftext|>"
BK,check allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: check allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: check allowed payment methods

Category: PAYMENT

<|endoftext|>"
B,I have to check your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I have to check your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have to check your allowed payment methods

Category: PAYMENT

<|endoftext|>"
BIL,can you tell me what payment options are accepted?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: can you tell me what payment options are accepted?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you tell me what payment options are accepted?

Category: PAYMENT

<|endoftext|>"
B,I try to check what payment methods you accept,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I try to check what payment methods you accept

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I try to check what payment methods you accept

Category: PAYMENT

<|endoftext|>"
B,I need assistance checking your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I need assistance checking your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance checking your allowed payment methods

Category: PAYMENT

<|endoftext|>"
BL,I need help seeing your payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I need help seeing your payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help seeing your payment methods

Category: PAYMENT

<|endoftext|>"
BIP,where could I check what payment methods you accept?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: where could I check what payment methods you accept?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where could I check what payment methods you accept?

Category: PAYMENT

<|endoftext|>"
BCILQ,need to list ur allowed payment options can uhelp me,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: need to list ur allowed payment options can uhelp me

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: need to list ur allowed payment options can uhelp me

Category: PAYMENT

<|endoftext|>"
BL,I have to see the accepted payment options,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I have to see the accepted payment options

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have to see the accepted payment options

Category: PAYMENT

<|endoftext|>"
B,I am trying to check your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I am trying to check your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I am trying to check your allowed payment methods

Category: PAYMENT

<|endoftext|>"
BL,I have to list your allowed payment options,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I have to list your allowed payment options

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have to list your allowed payment options

Category: PAYMENT

<|endoftext|>"
B,I want assistance checking what payment methods you accept,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I want assistance checking what payment methods you accept

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want assistance checking what payment methods you accept

Category: PAYMENT

<|endoftext|>"
BI,can you help me to check what payment methods you accept?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: can you help me to check what payment methods you accept?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you help me to check what payment methods you accept?

Category: PAYMENT

<|endoftext|>"
BCILQ,i have got to list ur available payment methods how to do it,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: i have got to list ur available payment methods how to do it

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: i have got to list ur available payment methods how to do it

Category: PAYMENT

<|endoftext|>"
B,tell me your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: tell me your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: tell me your allowed payment methods

Category: PAYMENT

<|endoftext|>"
B,I try to check what payment methods are available,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I try to check what payment methods are available

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I try to check what payment methods are available

Category: PAYMENT

<|endoftext|>"
B,assistance to check your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: assistance to check your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: assistance to check your allowed payment methods

Category: PAYMENT

<|endoftext|>"
BILQZ,what do i have to do to list urallowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: what do i have to do to list urallowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: what do i have to do to list urallowed payment methods

Category: PAYMENT

<|endoftext|>"
BIP,would it be possible to check your allowed payment methods?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: would it be possible to check your allowed payment methods?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: would it be possible to check your allowed payment methods?

Category: PAYMENT

<|endoftext|>"
BIP,how could I check what payment methods are available?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: how could I check what payment methods are available?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how could I check what payment methods are available?

Category: PAYMENT

<|endoftext|>"
BI,do you accept card?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: do you accept card?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: do you accept card?

Category: PAYMENT

<|endoftext|>"
BCIL,"I have to see your payment methods, how to do it?",PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I have to see your payment methods, how to do it?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have to see your payment methods, how to do it?

Category: PAYMENT

<|endoftext|>"
BLQ,need assistance seeing what payment methods are accepted,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: need assistance seeing what payment methods are accepted

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: need assistance seeing what payment methods are accepted

Category: PAYMENT

<|endoftext|>"
BLQZ,need help listing the allowed payment metods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: need help listing the allowed payment metods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: need help listing the allowed payment metods

Category: PAYMENT

<|endoftext|>"
B,I need help to check your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I need help to check your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help to check your allowed payment methods

Category: PAYMENT

<|endoftext|>"
B,show me what payment methods you accept,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: show me what payment methods you accept

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: show me what payment methods you accept

Category: PAYMENT

<|endoftext|>"
BI,where to check what payment methods are available?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: where to check what payment methods are available?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where to check what payment methods are available?

Category: PAYMENT

<|endoftext|>"
BL,I need assistance checking the available payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I need assistance checking the available payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance checking the available payment methods

Category: PAYMENT

<|endoftext|>"
B,I want help to check what payment methods are available,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I want help to check what payment methods are available

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want help to check what payment methods are available

Category: PAYMENT

<|endoftext|>"
B,help checking your allowed payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: help checking your allowed payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help checking your allowed payment methods

Category: PAYMENT

<|endoftext|>"
BIP,will you tell me your allowed payment methods?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: will you tell me your allowed payment methods?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: will you tell me your allowed payment methods?

Category: PAYMENT

<|endoftext|>"
BLQZ,i want assistanceto check the available payment methods,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: i want assistanceto check the available payment methods

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: i want assistanceto check the available payment methods

Category: PAYMENT

<|endoftext|>"
BIP,how could I check what payment methods you accept?,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: how could I check what payment methods you accept?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: how could I check what payment methods you accept?

Category: PAYMENT

<|endoftext|>"
BCIL,"I need to list the payment options, how to do it?",PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I need to list the payment options, how to do it?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need to list the payment options, how to do it?

Category: PAYMENT

<|endoftext|>"
BCIL,"I want to list the payment options, can I get some help?",PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I want to list the payment options, can I get some help?

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want to list the payment options, can I get some help?

Category: PAYMENT

<|endoftext|>"
BEL,I do not know what to do to list the allowed payment options,PAYMENT,check_payment_methods,"Classify the Intent of the Dialogue.

Dialogue: I do not know what to do to list the allowed payment options

Intent: check_payment_methods

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know what to do to list the allowed payment options

Category: PAYMENT

<|endoftext|>"
B,checking your refund policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: checking your refund policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: checking your refund policy

Category: REFUND

<|endoftext|>"
B,I don't know how I can check your money back policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I don't know how I can check your money back policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I don't know how I can check your money back policy

Category: REFUND

<|endoftext|>"
B,I want help to check in what cases can I ask for a refund,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I want help to check in what cases can I ask for a refund

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want help to check in what cases can I ask for a refund

Category: REFUND

<|endoftext|>"
BE,I do not know what I have to do to check your refund policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I do not know what I have to do to check your refund policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know what I have to do to check your refund policy

Category: REFUND

<|endoftext|>"
BIP,could you help me checking your refund policy?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: could you help me checking your refund policy?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me checking your refund policy?

Category: REFUND

<|endoftext|>"
B,I don't know what to do to check your money back policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I don't know what to do to check your money back policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I don't know what to do to check your money back policy

Category: REFUND

<|endoftext|>"
BI,can you show me in what cases can I ask for a refund?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: can you show me in what cases can I ask for a refund?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you show me in what cases can I ask for a refund?

Category: REFUND

<|endoftext|>"
BIP,could you help me checking how long refunds usually take?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: could you help me checking how long refunds usually take?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me checking how long refunds usually take?

Category: REFUND

<|endoftext|>"
BE,I do not know what to do to check your refund policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I do not know what to do to check your refund policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know what to do to check your refund policy

Category: REFUND

<|endoftext|>"
BIP,could you help me to check your money back policy?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: could you help me to check your money back policy?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me to check your money back policy?

Category: REFUND

<|endoftext|>"
BIP,could you help me checking how long refunds take?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: could you help me checking how long refunds take?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me checking how long refunds take?

Category: REFUND

<|endoftext|>"
B,check in what cases can I ask to be refunded,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: check in what cases can I ask to be refunded

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: check in what cases can I ask to be refunded

Category: REFUND

<|endoftext|>"
B,I want help checking how long refunds take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I want help checking how long refunds take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want help checking how long refunds take

Category: REFUND

<|endoftext|>"
BEP,I do not know how I could check your refund policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I do not know how I could check your refund policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how I could check your refund policy

Category: REFUND

<|endoftext|>"
BI,where do I check your money back policy?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: where do I check your money back policy?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: where do I check your money back policy?

Category: REFUND

<|endoftext|>"
B,I need assistance to check how long refunds usually take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I need assistance to check how long refunds usually take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance to check how long refunds usually take

Category: REFUND

<|endoftext|>"
B,I am trying to check in what cases can I ask to be refunded,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I am trying to check in what cases can I ask to be refunded

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I am trying to check in what cases can I ask to be refunded

Category: REFUND

<|endoftext|>"
B,show me in what cases can I ask for refunds,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: show me in what cases can I ask for refunds

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: show me in what cases can I ask for refunds

Category: REFUND

<|endoftext|>"
BIP,will you show me how long refunds take?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: will you show me how long refunds take?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: will you show me how long refunds take?

Category: REFUND

<|endoftext|>"
B,I need assistance checking how long refunds take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I need assistance checking how long refunds take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need assistance checking how long refunds take

Category: REFUND

<|endoftext|>"
BIP,would it be possible to check your money back policy?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: would it be possible to check your money back policy?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: would it be possible to check your money back policy?

Category: REFUND

<|endoftext|>"
BI,can you help me check in what cases can I ask for a refund?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: can you help me check in what cases can I ask for a refund?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you help me check in what cases can I ask for a refund?

Category: REFUND

<|endoftext|>"
B,I have to check how long refunds take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I have to check how long refunds take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I have to check how long refunds take

Category: REFUND

<|endoftext|>"
BI,can you help me check how long refunds take?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: can you help me check how long refunds take?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you help me check how long refunds take?

Category: REFUND

<|endoftext|>"
B,help me check how long refunds usually take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help me check how long refunds usually take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me check how long refunds usually take

Category: REFUND

<|endoftext|>"
B,help checking in what cases can I ask for refunds,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help checking in what cases can I ask for refunds

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help checking in what cases can I ask for refunds

Category: REFUND

<|endoftext|>"
B,help me check how long refunds take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help me check how long refunds take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me check how long refunds take

Category: REFUND

<|endoftext|>"
B,help to check your money back policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help to check your money back policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help to check your money back policy

Category: REFUND

<|endoftext|>"
B,assistance to check your money back policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: assistance to check your money back policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: assistance to check your money back policy

Category: REFUND

<|endoftext|>"
BE,I do not know what to do to check your money back policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I do not know what to do to check your money back policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know what to do to check your money back policy

Category: REFUND

<|endoftext|>"
BEP,I do not know how I could check your money back policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I do not know how I could check your money back policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how I could check your money back policy

Category: REFUND

<|endoftext|>"
BI,can I check under what circumstances can I ask for refunds?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: can I check under what circumstances can I ask for refunds?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can I check under what circumstances can I ask for refunds?

Category: REFUND

<|endoftext|>"
BI,under what circumstances can I ask for refunds?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: under what circumstances can I ask for refunds?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: under what circumstances can I ask for refunds?

Category: REFUND

<|endoftext|>"
B,show me how long refunds usually take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: show me how long refunds usually take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: show me how long refunds usually take

Category: REFUND

<|endoftext|>"
B,check in what cases can I ask for refunds,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: check in what cases can I ask for refunds

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: check in what cases can I ask for refunds

Category: REFUND

<|endoftext|>"
B,help to check how long refunds usually take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help to check how long refunds usually take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help to check how long refunds usually take

Category: REFUND

<|endoftext|>"
BI,can you help me checking your refund policy?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: can you help me checking your refund policy?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you help me checking your refund policy?

Category: REFUND

<|endoftext|>"
B,assistance checking your refund policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: assistance checking your refund policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: assistance checking your refund policy

Category: REFUND

<|endoftext|>"
BIP,could you help me to check your refund policy?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: could you help me to check your refund policy?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me to check your refund policy?

Category: REFUND

<|endoftext|>"
BI,in what cases can I ask for my money back?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: in what cases can I ask for my money back?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: in what cases can I ask for my money back?

Category: REFUND

<|endoftext|>"
B,help to check how long refunds take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help to check how long refunds take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help to check how long refunds take

Category: REFUND

<|endoftext|>"
B,assistance to check how long refunds take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: assistance to check how long refunds take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: assistance to check how long refunds take

Category: REFUND

<|endoftext|>"
BI,can you show me your refund policy?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: can you show me your refund policy?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: can you show me your refund policy?

Category: REFUND

<|endoftext|>"
BE,I do not know how to check your refund policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I do not know how to check your refund policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know how to check your refund policy

Category: REFUND

<|endoftext|>"
BIP,could you show me in what cases can I ask for refunds?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: could you show me in what cases can I ask for refunds?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you show me in what cases can I ask for refunds?

Category: REFUND

<|endoftext|>"
BE,I do not know what I need to do to check your refund policy,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I do not know what I need to do to check your refund policy

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I do not know what I need to do to check your refund policy

Category: REFUND

<|endoftext|>"
B,I am trying to check how long refunds usually take,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I am trying to check how long refunds usually take

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I am trying to check how long refunds usually take

Category: REFUND

<|endoftext|>"
BIP,could you help me check how long refunds take?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: could you help me check how long refunds take?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: could you help me check how long refunds take?

Category: REFUND

<|endoftext|>"
B,help me checking in what cases can I ask for refunds,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help me checking in what cases can I ask for refunds

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me checking in what cases can I ask for refunds

Category: REFUND

<|endoftext|>"
B,I need help checking in what cases can I ask for a refund,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I need help checking in what cases can I ask for a refund

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I need help checking in what cases can I ask for a refund

Category: REFUND

<|endoftext|>"
BI,is it possible to check how long refunds take?,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: is it possible to check how long refunds take?

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: is it possible to check how long refunds take?

Category: REFUND

<|endoftext|>"
B,help me check in what cases can I ask for refunds,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: help me check in what cases can I ask for refunds

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: help me check in what cases can I ask for refunds

Category: REFUND

<|endoftext|>"
B,I want help checking in what cases can I ask for a refund,REFUND,check_refund_policy,"Classify the Intent of the Dialogue.

Dialogue: I want help checking in what cases can I ask for a refund

Intent: check_refund_policy

<|endoftext|>","Classify the Category of the Dialogue.

Dialogue: I want help checking in what cases can I ask for a refund

Category: REFUND

<|endoftext|>"
